Unnamed: 0,imdb_ids,movie,year,imdb,metascore,votes,release_date,release_date_norm,title,title_norm,mpaa-rating,mpaa-rating_norm,running-time,franchises,franchises_norm,keywords,keywords_norm,source,source_norm,genre,genre_norm,production_method,production_method_norm,creative_type,creative_type_norm,production_companies,production_companies_norm,production_countries,production_countries_norm,languages,languages_norm,production_budget,domestic_gross,worldwide_gross,imdb_id
32635,122459,Return to Me,2000,69,54.0,18716,"Apr 7, 2000",2000/04/07,Return to Me,Return-to-Me,PG,PG-(US),,,,Romance,Romance,Original Screenplay,Original-Screenplay,Romantic Comedy,Romantic-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,,,24000000,32662299,32662299,122459.0
32636,144964,Highlander: Endgame,2000,46,21.0,18581,"Sep 1, 2000",2000/09/01,Highlander: Endgame,Highlander-Endgame,R,R-(US),,Highlander,Highlander,,,Original Screenplay,Original-Screenplay,Action,Action,Live Action,Live-Action,Fantasy,Fantasy,,,United States,United-States,English;French;Gaelic,English;French;Gaelic,15000000,12801190,12801190,144964.0
32638,156812,My Dog Skip,2000,70,61.0,18538,"Jan 12, 2000",2000/01/12,My Dog Skip,My-Dog-Skip,PG,PG-(US),95.0,,,Coming of Age;Animal Lead,Coming-of-Age;Animal-Lead,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Kids Fiction,Kids-Fiction,,,United States,United-States,English,English,7000000,34099640,35795319,156812.0
32641,210616,Center Stage,2000,67,52.0,17749,"May 12, 2000",2000/05/12,Center Stage,Center-Stage,PG-13,PG-13-(US),113.0,Center Stage,Center-Stage,Dancing,Dancing,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Columbia Pictures,Columbia-Pictures,United States,United-States,English,English,18000000,17200925,21361109,210616.0
32645,199725,Love & Basketball,2000,72,70.0,16976,"Apr 21, 2000",2000/04/21,Love and Basketball,Love-and-Basketball,PG-13,PG-13-(US),,,,Basketball,Basketball,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,Canada,Canada,,,15000000,27441122,27709625,199725.0
32646,195234,Saving Grace,2000,69,62.0,16945,"Aug 4, 2000",2000/08/04,Saving Grace,Saving-Grace,R,R-(US),,,,,,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Portman Entertainment;Sky Pictures;Homerun Productions;WAVEpictures,Portman-Entertainment;Sky-Pictures;Homerun-Productions;WAVEpictures,United Kingdom,United-Kingdom,,,4000000,12178602,27786849,195234.0
32650,134983,Supernova,2000,49,19.0,16486,"Jan 14, 2000",2000/01/14,Supernova,Supernova,PG-13,PG-13-(US),90.0,,,,,Original Screenplay,Original-Screenplay,Action,Action,Live Action,Live-Action,Science Fiction,Science-Fiction,,,,,English,English,60000000,14218868,14816494,134983.0
32653,220099,The Tigger Movie,2000,63,53.0,16032,"Feb 11, 2000",2000/02/11,The Tigger Movie,Tigger-Movie-The,G,G-(US),77.0,Winnie the Pooh,Winnie-the-Pooh,Living Toys;Talking Animals;Animal Lead;Breaking the Fourth Wall;Voiceover/Narration;Intertitle,Living-Toys;Talking-Animals;Animal-Lead;Breaking-the-Fourth-Wall;Voiceover-Narration;Intertitle,Spin-Off,Spin-Off,Adventure,Adventure,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,,,United States,United-States,English,English,20000000,45542421,96147688,220099.0
32655,204175,Boys and Girls,2000,54,29.0,15339,"Jun 16, 2000",2000/06/16,Boys and Girls,Boys-and-Girls,PG-13,PG-13-(US),,,,Romance,Romance,Original Screenplay,Original-Screenplay,Romantic Comedy,Romantic-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,16000000,21799652,21799652,204175.0
32656,192731,Urban Legends: Final Cut,2000,43,16.0,15186,"Sep 22, 2000",2000/09/22,Urban Legends: Final Cut,Urban-Legends-Final-Cut,R,R-(US),99.0,Urban Legend,Urban-Legend,,,Original Screenplay,Original-Screenplay,Horror,Horror,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,15000000,21468807,38574362,192731.0
32661,176783,Gossip,2000,59,31.0,13860,"Apr 21, 2000",2000/04/21,Gossip,Gossip,R,R-(US),,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,14000000,5108820,12591270,176783.0
32662,186975,Down to You,2000,50,13.0,13770,"Jan 21, 2000",2000/01/21,Down to You,Down-to-You,PG-13,PG-13-(US),,,,Romance,Romance,Original Screenplay,Original-Screenplay,Romantic Comedy,Romantic-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,9000000,20035310,20035310,186975.0
32665,163983,Bless the Child,2000,51,17.0,13418,"Aug 11, 2000",2000/08/11,Bless the Child,Bless-the-Child,R,R-(US),107.0,,,Religious;The Devil,Religious;The-Devil,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Fantasy,Fantasy,,,,,English,English,40000000,29374178,40435694,163983.0
32667,217756,Ready to Rumble,2000,54,23.0,13045,"Apr 7, 2000",2000/04/07,Ready to Rumble,Ready-to-Rumble,PG-13,PG-13-(US),,,,Wrestling,Wrestling,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,,,24000000,12372410,12372410,217756.0
32669,173716,Cecil B. DeMented,2000,62,57.0,12811,"Aug 11, 2000",2000/08/11,Cecil B. Demented,Cecil-B-Demented,R,R-(US),,,,Film Noir,Film-Noir,Original Screenplay,Original-Screenplay,Black Comedy,Black-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,10000000,1276984,1953882,173716.0
32670,186045,Drowning Mona,2000,57,25.0,12762,"Mar 3, 2000",2000/03/03,Drowning Mona,Drowning-Mona,PG-13,PG-13-(US),,,,,,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Jersey Shore,Jersey-Shore,,,,,16000000,15427192,15980376,186045.0
32674,149624,All the Pretty Horses,2000,58,55.0,12503,"Dec 22, 2000",2000/12/22,All the Pretty Horses,All-the-Pretty-Horses,PG-13,PG-13-(US),117.0,,,Coming of Age,Coming-of-Age,Based on Fiction Book/Short Story,Based-on-Fictional-Book-or-Short-Story,Western,Western,Live Action,Live-Action,Historical Fiction,Historical-Fiction,,,,,English;Spanish,English;Spanish,45000000,15527125,18120267,149624.0
32678,235679,Pok̩mon 3: The Movie,2000,58,,12068,"Apr 6, 2001",2001/04/06,Pokemon 3: The Movie,Pokemon-3-The-Movie,G,G-(US),,Pokemon,Pokemon,Toy Adaptations;Anime,Toy-Adaptations;Anime,Based on TV,Based-on-TV,Adventure,Adventure,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,,,Japan,Japan,,,3000000,17052128,68452128,235679.0
32680,213790,The Ladies Man,2000,52,22.0,11973,"Oct 13, 2000",2000/10/13,The Ladies Man,Ladies-Man-The,R,R-(US),87.0,,,,,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Paramount Pictures;SNL Studios,Paramount-Pictures;SNL-Studios,United States,United-States,English,English,11000000,13592872,13719474,213790.0
32688,162983,Hanging Up,2000,49,33.0,11384,"Feb 18, 2000",2000/02/18,Hanging Up,Hanging-Up,PG-13,PG-13-(US),94.0,,,,,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,40000000,36037909,51867723,162983.0
32689,187696,Anatomy,2000,61,33.0,11165,"Sep 8, 2000",2000/09/08,Anatomie,Anatomie,Not Rated,Not-Rated-(US),,,,Foreign Language,Foreign-Language,Original Screenplay,Original-Screenplay,Horror,Horror,Live Action,Live-Action,,,,,,,,,2500000,9598,9598,187696.0
32691,184907,Snow Day,2000,51,34.0,10823,"Feb 11, 2000",2000/02/11,Snow Day,Snow-Day,PG,PG-(US),89.0,,,,,Original Screenplay,Original-Screenplay,Adventure,Adventure,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,13000000,60008303,62452927,184907.0
32695,156841,The Next Best Thing,2000,46,25.0,10399,"Mar 3, 2000",2000/03/03,The Next Best Thing,Next-Best-Thing-The,PG-13,PG-13-(US),,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,,,25000000,14983572,24355762,156841.0
32697,213203,Rugrats in Paris: The Movie,2000,61,62.0,10319,"Nov 17, 2000",2000/11/17,Rugrats in Paris,Rugrats-in-Paris,G,G-(US),,Rugrats Movie,Rugrats,Family Vacations,Family-Vacations,Based on TV,Based-on-TV,Adventure,Adventure,Hand Animation,Hand-Animation,Kids Fiction,Kids-Fiction,,,United States,United-States,,,30000000,76501438,103284813,213203.0
32698,211938,Bait,2000,58,39.0,10151,"Sep 15, 2000",2000/09/15,Bait,Bait,R,R-(US),119.0,,,,,Original Screenplay,Original-Screenplay,Action,Action,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Village Roadshow Productions;Castle Rock Entertainment,Village-Roadshow-Productions;Castle-Rock-Entertainment,United States,United-States,English,English,35000000,15325127,15471969,211938.0
32700,160484,Lost Souls,2000,48,16.0,10105,"Oct 13, 2000",2000/10/13,Lost Souls,Lost-Souls,R,R-(US),,,,Religious,Religious,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,,,28000000,16779636,31320293,160484.0
32704,215545,Bamboozled,2000,65,50.0,9646,"Oct 6, 2000",2000/10/06,Bamboozled,Bamboozled,R,R-(US),,,,TV Industry;African-American;Animated Sequences,TV-Industry;African-American;Animated-Sequences,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,10000000,2185266,2373937,215545.0
32705,206420,Woman on Top,2000,53,41.0,9613,"Sep 22, 2000",2000/09/22,Woman on Top,Woman-on-Top,R,R-(US),,,,Romance,Romance,Original Screenplay,Original-Screenplay,Romantic Comedy,Romantic-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,8000000,5018450,10192613,206420.0
32707,219952,Lucky Numbers,2000,50,31.0,9500,"Oct 27, 2000",2000/10/27,Lucky Numbers,Lucky-Numbers,R,R-(US),,,,News,News,Original Screenplay,Original-Screenplay,Comedy,Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,65000000,10014234,10014234,219952.0
